#Name,Goethite,Hematite,Kaolinite,Dolomite,Illite,Vermiculite,Montmorillonite,Gypsum,Calcite,Chlorite
Acmite NMNH133746 Pyroxene s06an14a_a  ,0,0,0,0,0,0,0,0,0,0
Actinolite HS116.3B s06an14a_b         ,0,0,0,0,0,0,0,0,0,0
Actinolite HS22.3B s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Actinolite HS22.3B s06an14a_bbb        ,0,0,0,0,0,0,0,0,0,0
Actinolite HS315.4B s06an14a_b         ,0,0,0,0,0,0,0,0,0,0
Actinolite HS315.4B s06an14a_bbb       ,0,0,0,0,0,0,0,0,0,0
Actinolite NMNH80714 s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Actinolite NMNHR16485 s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Actinolite NMNHR16485 s06an14a_bbb     ,0,0,0,0,0,0,0,0,0,0
Adularia GDS57 Orthoclase s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Adularia GDS57 Orthoclase s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Albite GDS30 74-250um Plag s06an14a_b  ,0,0,0,0,0,0,0,0,0,0
Albite GDS30 74-250um Plag s06an14a_bb_,0,0,0,0,0,0,0,0,0,0
Albite HS324.3B Plagioclase s06an14a_c ,0,0,0,0,0,0,0,0,0,0
Albite HS324.3B Plagioclas s06an14a_cbb,0,0,0,0,0,0,0,0,0,0
Albite HS66.3B Plagioclase s06an14a_c  ,0,0,0,0,0,0,0,0,0,0
Albite HS66.3B Plagioclase s06an14a_bbb,0,0,0,0,0,0,0,0,0,0
Albite HS143.3B Plagioclase s06an14a_c ,0,0,0,0,0,0,0,0,0,0
Albite HS143.3B Plagioclas s06an14a_cc_,0,0,0,0,0,0,0,0,0,0
Allanite HS293.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Allanite HS293.3B s06an14a_bc_         ,0,0,0,0,0,0,0,0,0,0
Almandine HS114.3B Garnet s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Almandine HS114.3B Garnet s06an14a_bb_ ,0,0,0,0,0,0,0,0,0,0
Almandine WS475 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Almandine WS475 Garnet s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Almandine WS476 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Almandine WS476 Garnet s06an14a_bbb    ,0,0,0,0,0,0,0,0,0,0
Almandine WS477 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Almandine WS477 Garnet s06an14a_bbb    ,0,0,0,0,0,0,0,0,0,0
